Data;IBOV;IDADI;IDAIPCA;IRFM;DOLAR;SELIC;IFIX;
mar/17;0,64%;0,89%;0,46%;0,53%;0,95%;1,05%;0,15%;
abr/17;-4,12%;1,08%;-0,27%;0,30%;1,42%;0,79%;1,03%;
mai/17;0,30%;0,89%;0,40%;1,35%;1,99%;0,93%;0,88%;
jun/17;4,80%;0,94%;2,79%;2,31%;-5,37%;0,81%;-0,39%;
jul/17;7,46%;0,92%;0,60%;1,06%;0,52%;0,80%;0,87%;
ago/17;4,88%;0,72%;1,07%;1,48%;0,66%;0,80%;6,58%;
set/17;0,02%;0,71%;0,03%;0,10%;3,44%;0,64%;0,23%;
out/17;-3,15%;0,61%;-0,09%;0,09%;-0,47%;0,64%;-0,59%;
nov/17;6,16%;0,57%;0,93%;1,24%;1,42%;0,57%;0,60%;
dez/17;11,14%;0,70%;1,70%;1,30%;-4,40%;0,54%;2,64%;
jan/18;0,52%;0,54%;0,65%;1,10%;2,61%;0,58%;1,15%;
fev/18;0,01%;0,63%;1,83%;1,32%;2,43%;0,47%;2,00%;
mar/18;0,88%;0,62%;-0,03%;0,47%;4,73%;0,53%;-0,86%;
abr/18;-10,87%;0,60%;-1,40%;-1,85%;7,35%;0,52%;-5,27%;
mai/18;-5,20%;0,35%;0,52%;0,04%;3,18%;0,52%;-4,01%;
jun/18;8,88%;0,69%;1,70%;1,47%;-2,62%;0,52%;1,38%;
jul/18;-3,21%;0,66%;0,22%;-0,93%;10,13%;0,54%;-0,70%;
ago/18;3,48%;0,55%;1,13%;1,30%;-3,18%;0,57%;-0,21%;
set/18;10,19%;0,64%;3,23%;3,59%;-7,15%;0,47%;5,04%;
out/18;2,38%;0,57%;0,32%;0,99%;3,92%;0,54%;2,59%;
nov/18;-1,81%;0,60%;1,37%;1,53%;0,30%;0,49%;2,22%;
dez/18;10,82%;0,65%;1,82%;1,39%;-5,75%;0,49%;2,47%;
jan/19;-1,86%;0,59%;0,75%;0,29%;2,37%;0,54%;1,03%;
fev/19;-0,18%;0,53%;0,95%;0,59%;4,23%;0,49%;1,99%;
mar/19;0,98%;0,61%;1,24%;0,61%;1,25%;0,47%;1,03%;
abr/19;0,70%;0,58%;2,09%;1,77%;-0,12%;0,52%;1,76%;
mai/19;4,06%;0,49%;2,17%;2,16%;-2,75%;0,54%;2,88%;
jun/19;0,84%;0,61%;0,59%;1,09%;-1,76%;0,47%;1,27%;
jul/19;-0,67%;0,51%;-0,34%;0,26%;9,92%;0,57%;-0,11%;
ago/19;3,57%;0,47%;1,81%;1,44%;0,63%;0,50%;1,04%;
set/19;2,36%;0,06%;1,09%;1,70%;-3,85%;0,46%;4,01%;
out/19;0,95%;-0,07%;-1,58%;-0,46%;5,49%;0,48%;3,52%;
nov/19;6,85%;0,43%;1,72%;0,62%;-4,58%;0,38%;10,63%;
dez/19;-1,63%;0,50%;0,99%;0,88%;5,92%;0,37%;-3,76%;
jan/20;-8,43%;0,31%;0,51%;0,65%;5,37%;0,38%;-3,69%;
fev/20;-29,90%;-4,87%;-5,65%;-0,11%;15,56%;0,29%;-15,85%;
mar/20;10,25%;0,49%;1,56%;1,15%;4,39%;0,34%;4,39%;
abr/20;8,57%;0,78%;2,24%;1,42%;-0,01%;0,28%;2,08%;
mai/20;8,76%;1,02%;1,78%;0,79%;0,92%;0,24%;5,59%;
jun/20;8,27%;1,47%;2,90%;1,08%;-4,98%;0,21%;-2,61%;
